epsilon,system,class,d_prime,hit_rate,fa_rate,beta
0.05,Resnet,ship,-0.642097493461133,0.024475524475524476,0.09226752583046328,2.8810556955875644
0.05,Resnet,truck,-0.19391851129072046,0.05744255744255744,0.0833796244861682,1.332333368394364
0.1,Resnet,airplane,-1.7429360582246782,0.0004995004995004995,0.06082657482501944,67.81305573943918
0.1,Resnet,automobile,-0.7650871058204674,0.01048951048951049,0.061382068659037885,4.3641294043488585
0.1,Resnet,bird,-2.375154889285175,0.0004995004995004995,0.1799244528385735,147.74652772955147
0.1,Resnet,cat,-1.373329233104561,0.007492507492507493,0.14470614376180424,11.000467340945391
0.1,Resnet,deer,-2.3275282218264968,0.0004995004995004995,0.16770358849016775,141.28152101140628
0.1,Resnet,dog,-2.2116658237606517,0.0004995004995004995,0.1402621930896567,125.5161654762971
0.1,Resnet,frog,-1.6769484039208704,0.0024975024975024975,0.12915231640928787,27.15911503913259
0.1,Resnet,horse,-1.6166555428193536,0.0004995004995004995,0.04705032774136207,55.33000225856895
0.1,Resnet,ship,-1.6816675164088657,0.0014985014985014985,0.09915564937229197,35.775464376621755
0.1,Resnet,truck,-1.5565326297332625,0.0014985014985014985,0.07904677258082435,30.218738615866936
0.2,Resnet,airplane,-1.5143547905756662,0.0004995004995004995,0.03782913009665593,46.37755101694895
0.2,Resnet,automobile,-1.2394387853829982,0.0014985014985014985,0.0419397844683924,18.36792670951743
0.2,Resnet,bird,-2.4167168512159374,0.0004995004995004995,0.19103432951894234,153.34507795393108
0.2,Resnet,cat,-2.166184882272167,0.0004995004995004995,0.13037440284412843,119.38098123592877
0.2,Resnet,deer,-2.377692978205994,0.0004995004995004995,0.18059104543939564,148.08981427302146
0.2,Resnet,dog,-1.9638876331938941,0.0004995004995004995,0.09226752583046328,93.16290860789928
0.2,Resnet,frog,-2.604118773479727,0.0004995004995004995,0.24613931785357182,177.49410554539287
0.2,Resnet,horse,-1.4009072661587028,0.0004995004995004995,0.0293856238195756,37.669326677267996
0.2,Resnet,ship,-1.9652297103272682,0.0004995004995004995,0.09248972336407066,93.32887961591831
0.2,Resnet,truck,-1.8103922874126872,0.0004995004995004995,0.06938117986890345,75.1054530612473
0.3,Resnet,airplane,-1.2692052947906247,0.0004995004995004995,0.02160871014331741,29.115474436469714
0.3,Resnet,automobile,-1.3594475889399804,0.0004995004995004995,0.02671925341628708,34.80050936703562
0.3,Resnet,bird,-2.3319476740406992,0.0004995004995004995,0.16881457615820464,141.88287673971058
0.3,Resnet,cat,-2.1143647862326853,0.0004995004995004995,0.11970892123097433,112.47142247841299
0.3,Resnet,deer,-2.3511749248442975,0.0004995004995004995,0.17370292189756695,144.49621428346663
0.3,Resnet,dog,-1.6200385903564463,0.0004995004995004995,0.04738362404177314,55.64394753415098
0.3,Resnet,frog,-3.071283464125791,0.0004995004995004995,0.4131207643595156,219.33777657446237
0.3,Resnet,horse,-1.200069228534053,0.0004995004995004995,0.018275747139206756,25.257275410999025
0.3,Resnet,ship,-1.8045351187570162,0.0004995004995004995,0.06860348850127763,74.45574853620363
0.3,Resnet,truck,-1.679948244201156,0.0004995004995004995,0.05360515498277969,61.39165669050994
0.0,Vit,airplane,5.292610126121797,0.9915084915084915,0.0018331296522608599,0.2535985951684456
0.0,Vit,automobile,5.034821462243981,0.9875124875124875,0.0026108210198866793,0.2496470451093818
0.0,Vit,bird,4.926072338695401,0.9655344655344655,0.0009443395178313521,0.041869284172718624
0.0,Vit,cat,4.203669880082619,0.9555444555444556,0.006165981557604711,0.1855810479199153
0.0,Vit,deer,4.8610511313684786,0.9785214785214785,0.002277524719475614,0.1386888749566738
0.0,Vit,dog,4.372300584868844,0.9585414585414586,0.004166203755138318,0.13849620705811244
0.0,Vit,frog,5.468093285703663,0.9945054945054945,0.0017220308854571714,0.3519035967785109
0.0,Vit,horse,5.070952156560054,0.9855144855144855,0.0019442284190645484,0.16814572470261516
0.0,Vit,ship,5.145285525708154,0.9895104895104895,0.002277524719475614,0.2567118735931756
0.0,Vit,truck,4.933807908192958,0.9685314685314685,0.0010554382846350405,0.04997941042495309
0.01,Vit,airplane,1.9686171699515334,0.6738261738261738,0.06449283412954117,0.34963747046872923
0.01,Vit,automobile,2.6382614908092332,0.7347652347652348,0.02216420397733585,0.16117600717253536
0.01,Vit,bird,1.5121818069456894,0.508991008991009,0.06815909343406289,0.3298016703088543
0.01,Vit,cat,0.8076711419726411,0.27522477522477523,0.08004666148205755,0.4455632935423219
0.01,Vit,deer,1.577091270921862,0.471028971028971,0.04949450061104322,0.2571136626258234
0.01,Vit,dog,1.3343567624984518,0.461038961038961,0.07604710587712477,0.3603151432332401
0.01,Vit,frog,1.9170289574378576,0.5499500499500499,0.03660704366181535,0.20253440701848768
0.01,Vit,horse,2.1513152534583493,0.6148851148851149,0.03149650038884568,0.18530824812960744
0.01,Vit,ship,2.022725428714201,0.6328671328671329,0.04616153760693256,0.2568966426948057
0.01,Vit,truck,2.2205564912929447,0.5949050949050949,0.02383068547939118,0.14484374938158115
